Oper_Year,Annual_Generation_MWh,Annual_OPEX_M,Revenue_M_Bear_Power,Op_CashFlow_M_Bear_Power,Revenue_M_Base_Power,Op_CashFlow_M_Base_Power,Revenue_M_Bull_Power,Op_CashFlow_M_Bull_Power
1,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
2,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
3,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
4,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
5,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
6,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
7,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
8,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
9,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
10,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
11,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
12,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
13,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
14,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
15,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
16,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
17,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
18,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
19,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
20,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
21,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
22,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
23,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
24,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
25,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
26,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
27,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
28,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
29,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
30,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
31,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
32,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
33,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
34,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
35,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
36,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
37,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
38,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
39,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
40,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
41,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
42,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
43,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
44,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
45,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
46,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
47,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
48,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
49,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
50,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
51,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
52,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
53,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
54,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
55,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
56,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
57,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
58,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
59,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
60,8865120.0,189.78608,443.256,253.46991999999997,664.884,475.09792000000004,886.512,696.72592
